-4.302381,-4.929661,2.899378,-0.76981,-0.513207,-0.502282
-5.341464,-5.865794,5.884948,-0.529727,-0.467375,0.024781
-4.386178,-6.737284,6.172252,-0.019985,0.119109,0.237152
2.056619,-6.457162,2.681506,0.605403,1.870034,0.653899
-2.06859,-4.407725,4.493917,0.307498,2.952671,0.588882
0.749385,-4.903325,2.906561,0.374113,3.487727,1.065583
2.537854,-4.707001,1.68073,0.572361,4.841091,1.433568
3.275268,-6.739678,0.464475,0.992306,7.118546,1.61423
0.131681,-6.991069,-0.392649,1.550279,8.731176,1.577991
-3.852271,-5.66947,-1.18513,2.046432,8.731176,1.654466
-5.176264,-5.341464,-2.166753,2.426407,8.731176,2.277988
-3.77805,-6.464345,-4.654328,2.899378,8.731176,2.590548
-3.55539,-5.968745,-8.178593,3.669455,8.731176,2.49702
-5.870583,-5.89213,-8.896853,4.284184,8.731176,2.236153
-6.98628,-6.38773,-9.172187,4.773409,7.948843,1.973421
-6.868965,-5.707777,-9.572019,4.688141,6.278122,1.74453
-5.41329,-6.619968,-10.54167,4.55864,5.100092,1.762383
-4.81474,-5.221754,-12.66054,4.314027,4.490692,1.8703
-4.060566,-4.970363,-13.98693,3.441363,3.45442,1.607568
-4.924873,-5.679047,-13.39556,2.398162,2.853547,0.99657
-7.228095,-6.406884,-13.18966,2.009927,1.945976,0.901709
-5.681441,-5.846641,-16.96053,1.898012,0.997902,1.23532
-5.154716,-5.118803,-18.67477,1.091697,1.087433,1.077041
-5.760449,-5.00867,-17.37951,0.120708,1.250242,1.141525
-6.758832,-6.023811,-15.40908,-0.331479,1.321121,1.358692
-7.419631,-6.512228,-14.75307,-0.551577,0.671485,1.408254
-6.411672,-6.236896,-15.37796,-0.938747,-0.131899,1.401593
-4.946421,-6.517017,-15.72033,-1.524432,0.018919,1.42291
-6.150704,-7.627927,-14.06833,-2.031243,0.494288,1.307265
-7.505822,-8.14268,-12.34211,-1.931587,0.446858,1.425308
-6.603208,-7.611167,-13.55597,-1.948907,0.102055,1.511642
-5.657499,-7.718906,-14.75547,-2.294508,0.039703,1.486861
-5.552154,-7.965509,-14.08509,-2.719783,0.015455,1.502315
-5.56173,-8.89446,-12.80659,-2.938015,-0.036239,1.49219
-6.100426,-9.277532,-11.8106,-2.711522,-0.208907,1.450622
-5.451597,-7.541735,-13.31655,-2.608135,-0.433534,1.597709
-4.367024,-7.845799,-13.82891,-2.969191,-0.473237,1.604637
-4.915296,-7.953538,-12.65096,-3.234055,-0.359191,1.481531
-5.319916,-7.627927,-10.73799,-3.122407,-0.419145,1.528962
-4.31914,-6.665458,-10.46745,-3.008361,-0.541185,1.581988
-3.931279,-6.208165,-10.6518,-3.03181,-0.568631,1.460747
-4.235343,-5.700594,-9.737218,-3.15758,-0.572628,1.351498
-3.91452,-5.279215,-8.104373,-3.174101,-0.601139,1.426374
-2.980781,-4.546589,-6.991069,-2.813044,-0.691737,1.425308
-3.086126,-3.835511,-7.079654,-2.548714,-0.815109,1.212937
