-1.165976,-3.605668,10.18733,-0.167605,0.005862,-0.108717
-1.75495,-3.646369,10.39562,-0.069014,-0.199314,-0.090864
-0.845153,-3.804387,10.4483,0.025847,0.209173,-0.038371
-0.852336,-4.098873,10.98939,-0.03464,0.338141,0.018386
-1.61848,-4.369418,12.44267,0.03917,0.392233,0.050361
-1.936909,-5.193024,14.121,0.274723,-0.110315,0.062885
-0.995988,-4.96318,15.03559,0.581954,-0.77887,-0.130833
-0.627281,-5.130774,17.07784,0.508677,-1.302735,-0.297372
-0.105345,-7.335834,20.24776,0.85268,-1.844453,-0.501749
0.572214,-9.172187,22.63478,1.783167,-2.125305,-0.729841
-0.09098,-7.740454,23.40572,2.874597,-2.112248,-0.967259
-0.349553,-5.552154,22.28762,3.197017,-3.499718,-0.942744
1.276109,-5.600038,21.23657,3.592447,-3.927923,-0.932619
1.924938,-4.738125,20.02271,4.441929,-4.313228,-1.097026
2.504335,-2.846706,17.66921,4.836028,-4.610867,-1.275289
2.475605,-1.821988,16.0196,4.930622,-4.562637,-1.458616
1.628057,-0.610521,14.19043,5.074778,-4.497887,-1.544417
0.758962,-0.438139,12.95263,5.509645,-4.650836,-1.57053
0.979228,-0.337582,11.13543,5.901344,-4.716386,-1.544949
1.944092,1.18513,7.21373,5.993008,-4.489893,-1.340573
2.207454,0.804452,3.754108,6.301837,-4.235155,-1.269694
2.252944,1.345541,0.531513,6.162745,-3.96736,-1.399727
1.419762,2.185906,-0.296881,5.7857,-3.816276,-1.478334
0.754174,1.747767,0.378284,5.008162,-3.848518,-1.650469
1.266533,2.406173,-0.603339,4.407023,-3.416316,-1.720548
0.859518,2.152387,-1.731008,3.673718,-2.357927,-1.287014
0.500388,1.953669,-3.885789,3.268962,-1.567599,-0.815642
0.577003,4.134786,-5.133168,2.559372,-1.44023,-0.648037
0.560243,3.94325,-3.442862,1.558539,-1.515372,-0.63045
1.374272,3.746926,-2.942474,1.129801,-1.430104,-0.484695
2.0231,3.411737,-3.210624,1.488992,-0.971789,-0.265397
2.336741,5.255273,-5.439626,1.347767,-0.56117,0.078873
2.964022,5.286397,-5.707777,0.770609,-0.633648,0.213703
3.768473,4.929661,-5.497087,0.405289,-0.730107,0.167605
4.34787,4.450821,-5.24809,0.328815,-0.610732,0.120175
3.936068,4.994305,-6.007052,0.334144,-0.317623,0.068747
3.524265,5.628768,-6.370971,0.064484,-0.175332,0.140426
3.5099,5.44202,-5.827487,-0.25607,-0.276588,0.158279
4.103662,5.331887,-5.032612,-0.347467,-0.370116,0.128701
4.635174,5.274426,-4.565742,-0.281118,-0.343737,0.095394
4.960786,5.985504,-5.252879,-0.314159,-0.241681,-0.008527
4.680665,6.337452,-5.662287,-0.415681,-0.111115,-0.104986
4.474763,6.301539,-5.109226,-0.556107,-0.15668,-0.132165
5.29358,5.899313,-5.240908,-0.512407,-0.273657,-0.251541
5.420473,6.150704,-6.402095,-0.468708,-0.193185,-0.425274
5.066131,6.476315,-7.852982,-0.601406,-0.003464,-0.507345
4.750096,6.663064,-8.631097,-0.977917,0.085801,-0.53479
5.042189,5.827487,-8.554482,-1.267562,-0.03091,-0.589415
5.597643,5.528212,-9.832987,-1.359225,-0.065816,-0.601672
6.052542,5.89213,-11.88961,-1.600906,-0.205976,-0.658162
6.634333,5.600038,-11.82736,-2.325685,-0.204377,-0.960064
5.930438,4.180276,-9.241618,-3.015023,-0.101522,-1.357626
5.509058,3.210624,-7.225701,-3.177565,-0.189188,-1.63155
4.649539,3.366248,-8.037335,-3.409654,-0.077274,-1.722946
3.991134,2.571373,-7.936779,-4.085936,0.002931,-1.666723
3.519476,0.826,-6.730101,-4.548781,-0.171602,-1.654466
3.428497,-0.775721,-4.424485,-5.131801,-0.550511,-1.821005
3.378219,-3.507505,-0.430956,-5.257571,-0.702395,-2.024582
1.398214,-3.881001,1.120486,-5.488061,-0.462312,-2.011792
0.031125,-4.297592,3.49314,-6.252542,-0.397029,-1.827666
-1.249773,-6.576872,7.843405,-6.46358,-0.381841,-1.513773
-1.21386,-7.484274,11.93031,-5.897881,-0.495354,-1.273424
-0.998382,-4.932055,13.3764,-5.135531,-0.563568,-0.88359
-1.01993,-3.160346,13.58231,-4.694269,-0.801519,-0.714919
-0.591368,-2.650381,13.60864,-4.459249,-0.723446,-0.633648
-0.682347,-2.351106,14.53759,-4.051295,-0.498818,-0.53026
-0.21069,-1.405396,14.93024,-3.383274,-0.292576,-0.483363
-0.435745,-0.328006,13.3788,-3.085902,-0.05649,-0.564634
-1.398214,0.490811,13.04122,-3.250842,0.181994,-0.574227
-2.389413,-0.481235,15.72991,-3.085636,-0.050361,-0.374646
-0.787692,-0.557849,15.63893,-2.755755,-0.414616,-0.192386
0.083797,-0.73502,14.40352,-2.413351,-0.311761,-0.077541
-0.225055,-0.754174,12.74912,-2.456784,-0.048763,0.07381
-0.011971,-1.719037,12.38521,-2.656364,-0.072478,0.22223
0.861913,-3.294421,13.90552,-2.508211,-0.243813,0.192919
2.272097,-3.550601,13.44344,-2.320622,-0.196916,0.000533
1.745373,-3.924097,12.34211,-2.289446,0.131366,-0.261933
0.107739,-3.505111,11.65258,-2.398695,0.112714,-0.345069
0.191536,-4.031836,12.55759,-2.622524,-0.037305,-0.231023
0.881066,-5.734113,14.5352,-2.532459,-0.043966,-0.224361
0.442927,-5.657499,13.94383,-2.079207,0.046364,-0.301103
-0.521936,-4.173094,11.70286,-2.064818,0.010126,-0.193185
0.454898,-4.709395,11.90397,-2.404824,-0.124172,0.022916
1.42455,-6.710948,12.97418,-2.591881,0.090331,0.025047
1.106121,-7.49864,13.10107,-2.213237,0.16121,-0.126303
0.007183,-6.840234,11.40119,-2.020852,0.164674,-0.273391
-0.265756,-6.667852,11.08515,-2.121308,-0.000533,-0.255538
1.606509,-7.599196,11.69807,-2.146089,0.304833,-0.034374
1.685518,-8.755595,11.19289,-2.068015,0.688006,-0.140426
0.244209,-8.281544,10.1586,-1.879626,0.428738,-0.566766
-0.988805,-6.967127,9.837775,-2.084536,0.106319,-0.653366
-0.306458,-7.860164,11.07079,-2.293176,-0.140692,-0.459115
0.414197,-8.7125,11.19529,-2.407489,0.047697,-0.478034
-0.761356,-9.325416,12.35887,-1.921461,0.133764,-0.453253
-0.399832,-7.797915,12.00213,-1.610233,-0.110848,-0.270193
0.507571,-7.771579,11.78187,-1.653666,-0.092462,-0.16494
0.237026,-8.243237,12.14339,-1.610499,0.03011,-0.219032
-0.3304,-8.707711,12.76349,-1.438897,-0.087133,-0.260067
-0.102951,-8.494628,12.97657,-1.040003,-0.26593,-0.193185
0.790087,-7.790732,11.79144,-0.819372,0.049029,-0.048496
