-9.825804,-2.762909,6.155493,-1.276355,0.610466,-0.216634
-9.13388,-3.28245,5.683835,-1.202279,0.326949,-0.13936
-8.418014,-3.227384,5.78918,-1.11408,-0.3043,0.190787
-7.491457,-3.667917,6.572083,-0.652833,-0.70879,0.561436
1.685518,-4.218584,1.939303,0.115911,0.66056,1.497519
-2.825158,-2.090138,4.232949,0.680812,4.130968,0.654432
-2.975993,-1.082179,2.303222,0.01359,3.821338,-0.259002
-5.588067,-2.037466,3.576937,-0.209173,4.57969,-0.45192
-7.177817,-1.951274,3.89776,0.045565,4.225562,-0.588882
-7.915231,-1.441309,3.751714,0.248609,4.486163,-0.504946
-10.91517,-2.329558,5.090073,0.038904,5.595712,-0.88732
-19.72104,-4.750096,8.372523,0.519868,6.422012,-1.32192
-31.73754,-7.254431,8.439561,2.463979,4.542653,-0.66136
-36.76297,-5.741296,-1.381454,3.823737,0.292842,1.150052
-37.29448,-5.559336,-10.56322,2.897513,-1.94944,2.629718
-38.43172,-7.831434,-11.30303,1.313394,-1.641142,4.23622
-37.59855,-10.81461,-8.719683,0.204377,-1.381075,6.087069
-34.21314,-14.40591,-6.347029,-0.541718,-1.85751,7.444162
-30.95463,-18.67717,-4.261679,-0.828965,-2.459982,8.254209
-26.65225,-20.93969,-3.280056,-0.715452,-2.671286,8.731176
-22.10806,-22.06736,-2.954445,-0.578757,-2.486628,8.731176
-18.82561,-22.75449,-2.070984,-0.526263,-2.215103,8.731176
-17.2191,-23.75766,0.069432,-0.232622,-2.910037,8.731176
-12.99573,-23.55655,-0.160412,0.156147,-4.591415,8.731176
-3.519476,-25.59402,-2.0231,1.091164,-4.687075,8.731176
-0.794875,-21.17671,-2.908955,1.895614,-3.682512,8.731176
0.136469,-17.89666,-2.466028,2.059222,-2.210839,8.731176
0.56982,-16.13931,-2.432509,1.938781,-2.028046,8.71199
2.597709,-15.29177,-2.908955,1.482864,-2.463446,8.522269
7.381324,-15.95975,-3.782839,1.16151,-3.104288,8.491893
14.27902,-17.59499,-4.996699,1.741865,-3.098959,7.786566
20.08496,-15.32289,-7.050924,2.498086,-2.643308,5.930655
24.38734,-12.20085,-9.296685,2.649969,-1.421844,4.166141
25.32826,-10.4052,-9.346964,2.270527,0.180662,2.507412
23.24052,-10.01495,-8.020576,1.928123,1.180162,0.990708
20.00595,-9.696517,-6.694188,1.510842,1.038404,-0.422876
18.56225,-10.1562,-6.397307,1.251041,0.282983,-1.741599
18.87828,-10.13466,-7.625533,1.235587,0.055691,-2.861807
18.86631,-10.12747,-9.205706,0.940613,0.822836,-3.874098
17.81286,-11.87045,-9.320627,0.540386,1.980616,-4.976986
14.73871,-14.04439,-8.389283,0.392233,2.736037,-6.088135
10.71405,-15.8568,-7.084443,0.381041,2.498619,-7.215538
8.334216,-17.19755,-7.340622,0.118842,1.810346,-8.398631
7.10599,-19.10094,-8.99741,-0.660294,1.739467,-8.731442
4.718972,-23.0801,-9.13388,-1.104487,2.366453,-8.731442
2.377442,-27.03772,-8.899248,-0.76528,3.137596,-8.731442
-1.400608,-32.17807,-9.215282,-0.280052,3.972689,-8.731442
-7.661446,-38.0295,-9.564836,0.101256,4.387838,-8.731442
-18.40902,-42.39174,-8.599973,0.798322,5.141393,-8.731442
-35.46531,-42.82269,-5.74369,2.729109,4.427008,-8.731442
-49.62462,-34.42383,-2.437297,4.384107,-0.000799,-8.731442
-52.10501,-16.9318,-3.524265,2.689406,-0.774873,-8.731442
-48.2288,-8.367735,-2.482787,2.008594,-0.59208,-4.272726
-35.52277,-3.761291,-7.917625,1.823136,0.134297,-1.16151
-27.27235,0.02873,-10.89601,0.99204,0.025847,-0.70506
-24.6507,2.497152,-8.942344,-0.148686,-0.568631,-1.081038
-23.03461,2.06859,-5.604826,-1.003231,-0.854812,-1.124205
-21.72977,0.323217,-2.066196,-1.338174,-0.75702,-0.982447
-21.28445,-0.993594,1.412579,-0.982714,-0.423142,-0.562236
-20.13763,-0.837971,2.664747,-0.549712,-0.394364,-0.008793
-17.34838,-0.37589,1.508347,-0.453519,-0.411685,0.365587
-15.49049,-0.914585,1.005565,-0.54758,0.031176,0.63578
-13.69723,-1.865083,0.703895,-0.619259,0.232089,0.788995
-11.86806,-2.343924,-0.225055,-0.691204,0.101789,0.781002
-10.31662,-2.319981,-1.323994,-0.831896,-0.137761,0.654698
-9.715671,-3.05979,-1.072602,-1.037871,-0.206775,0.615262
-9.531317,-3.260903,-0.105345,-1.09143,-0.254738,0.767678
-8.908825,-3.232172,0.794875,-1.023216,-0.371715,1.232922
-7.395689,-3.251326,1.175553,-0.910236,-0.537721,1.584386
-5.303157,-3.081338,0.622492,-0.793525,-0.480432,1.55774
-4.716578,-2.614468,0.378284,-0.521467,-0.116444,1.337375
-5.279215,-1.242591,0.129287,-0.26966,0.07834,1.19242
-5.475539,-0.627281,-0.418985,-0.164407,-0.083136,1.065583
-5.501875,-0.088585,-1.261744,-0.160943,-0.301103,0.753822
-5.846641,0.502782,-1.400608,-0.300303,-0.377844,0.393832
